leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
1901,Fizika,Wilhelm Röntgen,https://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen,1845-03-27,German Confederation,Rumford Medal; Matteucci Medal; Elliott Cresson Medal; Barnard Medal for Meritorious Service to Science; Nobel Prize in Physics
1902,Fizika,Hendrik Lorentz,https://en.wikipedia.org/wiki/Hendrik_Lorentz,1853-07-18,Netherlands,Nobel Prize in Physics; ForMemRS; Rumford Medal; Franklin Medal; Copley Medal
1902,Fizika,Pieter Zeeman,https://en.wikipedia.org/wiki/Pieter_Zeeman,1865-05-25,Netherlands,Nobel Prize in Physics; Matteucci Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Henry Draper Medal; Rumford Medal; Franklin Medal
1903,Fizika,Henri Becquerel,https://en.wikipedia.org/wiki/Henri_Becquerel,1852-12-15,French Empire,Rumford Medal; Legion of Honour (Officer; 1900); Legion of Honour; Nobel Prize in Physics; Barnard Medal for Meritorious Service to Science; ForMemRS
1903,Fizika,Pierre Curie,https://en.wikipedia.org/wiki/Pierre_Curie,1859-05-15,French Empire,Davy Medal; Nobel Prize in Physics; Matteucci Medal; Elliott Cresson Medal
1903,Fizika,Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,1867-11-07,Russian Empire,Davy Medal; Nobel Prize in Physics; Matteucci Medal; Actonian Prize; Elliott Cresson Medal; Albert Medal; Nobel Prize in Chemistry; Willard Gibbs Award; John Scott Medal; Cameron Prize for Therapeutics of the University of Edinburgh
1904,Fizika,Lord Rayleigh,https://en.wikipedia.org/wiki/Lord_Rayleigh,1842-11-12,UKGBI,Smith's Prize; FRS; Royal Medal; De Morgan Medal; Matteucci Medal; Barnard Medal for Meritorious Service to Science; Faraday Lectureship Prize; Copley Medal; Order of Merit; Nobel Prize in Physics; Albert Medal; Elliott Cresson Medal; Rumford Medal
1905,Fizika,Philipp Lenard,https://en.wikipedia.org/wiki/Philipp_Lenard,1862-06-07,Austrian Empire,Rumford Medal; Matteucci Medal; Nobel Prize in Physics; Franklin Medal
1906,Fizika,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson,1856-12-18,UKGBI,Smith's Prize; Adams Prize; Royal Medal; Hodgkins Medal; Hughes Medal; Nobel Prize in Physics; Knight Bachelor; Elliott Cresson Medal; Order of Merit; Copley Medal; RSA Albert Medal; Franklin Medal; IET Faraday Medal; Dalton Medal
1907,Fizika,Albert A. Michelson,https://en.wikipedia.org/wiki/Albert_A._Michelson,1852-12-19,Kingdom of Prussia,Rumford Prize; Matteucci Medal; Copley Medal; Nobel Prize in Physics; Elliott Cresson Medal; Henry Draper Medal; Prix Jules Janssen; RAS Gold Medal; Franklin Medal; RSA Albert Medal; Duddell Medal and Prize
1908,Fizika,Gabriel Lippmann,https://en.wikipedia.org/wiki/Gabriel_Lippmann,1845-08-16,Luxembourg,Legion of Honour (1881; 1894; 1900; 1919); Legion of Honour; ForMemRS; Nobel Prize in Physics
1909,Fizika,Karl Ferdinand Braun,https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun,1850-06-06,German Confederation,Nobel Prize in Physics
1909,Fizika,Guglielmo Marconi,https://en.wikipedia.org/wiki/Guglielmo_Marconi,1874-04-25,Kingdom of Italy,IRE Medal of Honor; John Fritz Medal; Kelvin Gold Medal
1910,Fizika,Johannes Diderik van der Waals,https://en.wikipedia.org/wiki/Johannes_Diderik_van_der_Waals,1837-11-23,Netherlands,Nobel Prize in Physics
1911,Fizika,Wilhelm Wien,https://en.wikipedia.org/wiki/Wilhelm_Wien,1864-01-13,Kingdom of Prussia,Nobel Prize in Physics
1912,Fizika,Gustaf Dalén,https://en.wikipedia.org/wiki/Gustaf_Dal%C3%A9n,1869-11-30,Sweden,Nobel Prize in Physics
1913,Fizika,Heike Kamerlingh Onnes,https://en.wikipedia.org/wiki/Heike_Kamerlingh_Onnes,1853-09-21,Netherlands,Matteucci Medal; Rumford Medal; Nobel Prize in Physics; Franklin Medal
1914,Fizika,Max von Laue,https://en.wikipedia.org/wiki/Max_von_Laue,1879-10-09,German Empire,Matteucci Medal; Nobel Prize in Physics; Max Planck Medal
1915,Fizika,William Henry Bragg,https://en.wikipedia.org/wiki/William_Henry_Bragg,1862-07-02,UKGBI,Matteucci Medal; Barnard Medal for Meritorious Service to Science; Nobel Prize in Physics; Rumford Medal; Copley Medal; Faraday Medal; John J. Carty Award for the Advancement of Science
1915,Fizika,Lawrence Bragg,https://en.wikipedia.org/wiki/Lawrence_Bragg,1890-03-31,British Empire,Matteucci Medal; Nobel Prize in Physics; Hughes Medal; Royal Medal; Copley Medal
1917,Fizika,Charles Glover Barkla,https://en.wikipedia.org/wiki/Charles_Glover_Barkla,1877-06-07,UKGBI,FRS; Bakerian Medal; Nobel Prize in Physics; Hughes Medal
1918,Fizika,Max Planck,https://en.wikipedia.org/wiki/Max_Planck,1858-04-23,German Confederation,Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Lorentz Medal; Copley Medal; Max Planck Medal; Goethe Prize
1919,Fizika,Johannes Stark,https://en.wikipedia.org/wiki/Johannes_Stark,1874-04-15,German Empire,Matteucci Medal; Nobel Prize in Physics
1920,Fizika,Charles Édouard Guillaume,https://en.wikipedia.org/wiki/Charles_%C3%89douard_Guillaume,1861-02-15,Switzerland,John Scott Medal; Nobel Prize in Physics; Duddell Medal and Prize
1921,Fizika,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,1879-03-14,Germany,Barnard Medal for Meritorious Service to Science  Nobel Prize in Physics  Matteucci Medal  ForMemRS  [ 1 ] Copley Medal  [ 1 ] Gold Medal of RAS  [ 2 ] Max Planck Medal  Membership of NAS  [ 3 ] Time Person of the Century; Barnard Medal for Meritorious Service to Science; Nobel Prize in Physics; Matteucci Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Copley Medal  [ 1 ]; Copley Medal; Gold Medal of RAS  [ 2 ]; Gold Medal of RAS; [ 2 ]; Max Planck Medal; Membership of NAS  [ 3 ]; Membership of NAS; [ 3 ]; Time Person of the Century
1922,Fizika,Niels Bohr,https://en.wikipedia.org/wiki/Niels_Bohr,1885-10-07,Denmark,Hughes Medal; Nobel Prize in Physics; Matteucci Medal; ForMemRS; Franklin Medal; Faraday Lectureship Prize; Max Planck Medal; Copley Medal; Order of the Elephant; Atoms for Peace Award; Sonning Prize
1923,Fizika,Robert Andrews Millikan,https://en.wikipedia.org/wiki/Robert_Andrews_Millikan,1868-03-22,U.S.,Comstock Prize in Physics  [ 1 ]; Comstock Prize in Physics; [ 1 ]; AIEE Edison Medal; Nobel Prize in Physics; Hughes Medal; Faraday Lectureship Prize; Matteucci Medal; ASME Medal; Franklin Medal; Order of Jade; Oersted Medal; Medal for Merit  [ 2 ]; Medal for Merit; [ 2 ]
1924,Fizika,Manne Siegbahn,https://en.wikipedia.org/wiki/Manne_Siegbahn,1886-12-03,Sweden,Björkén Prize (1919; 1923); Björkén Prize; Nobel Prize in Physics; Hughes Medal; Rumford Medal; Duddell Medal and Prize; ForMemRS [ 1 ]; ForMemRS; [ 1 ]
1925,Fizika,James Franck,https://en.wikipedia.org/wiki/James_Franck,1882-08-26,German Empire,Iron Cross (2nd Class; 1915; 1st Class; 1918); Iron Cross; Hanseatic Cross
1925,Fizika,Gustav Ludwig Hertz,https://en.wikipedia.org/wiki/Gustav_Ludwig_Hertz,1887-07-22,German Empire,Nobel Prize in Physics; Max Planck Medal; Stalin Prize
1926,Fizika,Jean Baptiste Perrin,https://en.wikipedia.org/wiki/Jean_Baptiste_Perrin,1870-09-30,French Republic,Matteucci Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Nobel Prize in Physics
1927,Fizika,Arthur Compton,https://en.wikipedia.org/wiki/Arthur_Compton,1892-09-10,U.S.,Nobel Prize in Physics; Matteucci Medal; Hughes Medal; Franklin Medal
1927,Fizika,Charles Thomson Rees Wilson,https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson,1869-02-14,Scotland,FRS; Hughes Medal; Royal Medal; Howard N. Potts Medal; Nobel Prize in Physics; Franklin Medal; Duddell Medal and Prize; Copley Medal
1928,Fizika,Owen Willans Richardson,https://en.wikipedia.org/wiki/Owen_Willans_Richardson,1879-04-26,UKGBI,FRS  [ 1 ]; FRS; [ 1 ]; Hughes Medal; Nobel Prize in Physics; Royal Medal; Knight Bachelor
1929,Fizika,Louis de Broglie,https://en.wikipedia.org/wiki/Louis_de_Broglie,1892-08-15,French Republic,Nobel Prize in Physics; Max Planck Medal; Kalinga Prize; ForMemRS
1930,Fizika,C. V. Raman,https://en.wikipedia.org/wiki/C._V._Raman,1888-11-07,British Empire,FRS; Matteucci Medal; Knight Bachelor; Nobel Prize in Physics; Hughes Medal; Bharat Ratna; Lenin Peace Prize
1932,Fizika,Werner Heisenberg,https://en.wikipedia.org/wiki/Werner_Heisenberg,1901-12-05,German Empire,Matteucci Medal; Barnard Medal for Meritorious Service to Science; Nobel Prize in Physics; Max Planck Medal  ForMemRS  [ 1 ] Pour le Mérite  International membership of NAS  Niels Bohr International Gold Medal; Max Planck Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Pour le Mérite; International membership of NAS; Niels Bohr International Gold Medal
1933,Fizika,Erwin Schrödinger,https://en.wikipedia.org/wiki/Erwin_Schr%C3%B6dinger,1887-08-12,Austria-Hungary,Haitinger Prize; Matteucci Medal; Nobel Prize in Physics; Max Planck Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Pour le Mérite for Sciences and Arts; Erwin Schrödinger Prize
1933,Fizika,Paul Dirac,https://en.wikipedia.org/wiki/Paul_Dirac,1902-08-08,UKGBI,FRS; Nobel Prize in Physics; Royal Medal; Copley Medal; Max Planck Medal; J. Robert Oppenheimer Memorial Prize; Order of Merit
1935,Fizika,James Chadwick,https://en.wikipedia.org/wiki/James_Chadwick,1891-10-20,UK,FRS; Hughes Medal; Nobel Prize in Physics; Knight Bachelor; Melchett Medal; Copley Medal; Faraday Medal; Franklin Medal; Guthrie Medal and Prize; Order of the Companions of Honour
1936,Fizika,Victor Francis Hess,https://en.wikipedia.org/wiki/Victor_Francis_Hess,1883-06-24,Austria-Hungary,Lieben Prize; Nobel Prize in Physics; Austrian Decoration for Science and Art
1936,Fizika,Carl David Anderson,https://en.wikipedia.org/wiki/Carl_David_Anderson,1905-09-03,U.S.,Nobel Prize in Physics; Elliott Cresson Medal; Membership of NAS
1937,Fizika,Clinton Davisson,https://en.wikipedia.org/wiki/Clinton_Davisson,1881-10-22,U.S.,Comstock Prize in Physics  [ 1 ]; Comstock Prize in Physics; [ 1 ]; Elliott Cresson Medal; Hughes Medal; Nobel Prize in Physics
1937,Fizika,George Paget Thomson,https://en.wikipedia.org/wiki/George_Paget_Thomson,1892-05-03,UKGBI,Howard N. Potts Medal; Nobel Prize in Physics; Hughes Medal; Knight Bachelor; Royal Medal; IET Faraday Medal
1938,Fizika,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi,1901-09-29,Kingdom of Italy,Matteucci Medal; Nobel Prize in Physics; Hughes Medal; Medal for Merit; Franklin Medal; ForMemRS; Barnard Medal for Meritorious Service to Science; Rumford Prize; Max Planck Medal
1939,Fizika,Ernest Lawrence,https://en.wikipedia.org/wiki/Ernest_Lawrence,1901-08-08,U.S.,Membership of NAS; Elliott Cresson Medal; Hughes Medal; Comstock Prize in Physics; Nobel Prize in Physics; Duddell Medal and Prize; Holley Medal; Medal for Merit; Legion of Honour (Officer; 1948); Legion of Honour; William Procter Prize for Scientific Achievement; IET Faraday Medal; Enrico Fermi Award; Sylvanus Thayer Award
1940,Fizika,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1941,Fizika,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1942,Fizika,Cancelled due to World War II,https://en.wikipedia.org/wiki/Cancelled_due_to_World_War_II,,,
1943,Fizika,Otto Stern,https://en.wikipedia.org/wiki/Otto_Stern,1888-02-17,German Empire,Nobel Prize in Physics
1944,Fizika,Isidor Isaac Rabi,https://en.wikipedia.org/wiki/Isidor_Isaac_Rabi,1898-07-29,Austria-Hungary,Newcomb Cleveland Prize; Elliott Cresson Medal; Nobel Prize in Physics; Medal for Merit; King's Medal for Service in the Cause of Freedom; Legion of Honour (Officer; 1956); Legion of Honour; Barnard Medal for Meritorious Service to Science; Atoms for Peace Award; Oersted Medal; Public Welfare Medal; Vannevar Bush Award
1945,Fizika,Wolfgang Pauli,https://en.wikipedia.org/wiki/Wolfgang_Pauli,1900-04-25,Austria-Hungary,Lorentz Medal; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Max Planck Medal; Franklin Medal; Matteucci Medal
1946,Fizika,Percy Williams Bridgman,https://en.wikipedia.org/wiki/Percy_Williams_Bridgman,1882-04-21,U.S.,Rumford Prize; Elliott Cresson Medal; Comstock Prize in Physics; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Bingham Medal
1947,Fizika,Edward Victor Appleton,https://en.wikipedia.org/wiki/Edward_Victor_Appleton,1892-09-06,UKGBI,FRS  [ 1 ]; FRS; [ 1 ]; Hughes Medal; Order of the Bath (Knight Commander; 1941); Order of the Bath; IET Faraday Medal; Nobel Prize in Physics; Chree Medal and Prize; Royal Medal; RSA Albert Medal; IRE Medal of Honor
1948,Fizika,Patrick Blackett,https://en.wikipedia.org/wiki/Patrick_Blackett,1897-11-18,UKGBI,FRS; Royal Medal; Nobel Prize in Physics; Dalton Medal; Copley Medal; Order of the Companions of Honour; Order of Merit
1949,Fizika,Hideki Yukawa,https://en.wikipedia.org/wiki/Hideki_Yukawa,1907-01-23,Empire of Japan,Imperial Prize of the Japan Academy; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Lomonosov Gold Medal; Pour le Mérite for Sciences and Arts; Order of the Rising Sun (Grand Cordon; 1977); Order of the Rising Sun
1950,Fizika,C. F. Powell,https://en.wikipedia.org/wiki/C._F._Powell,1903-12-05,UKGBI,FRS  [ 1 ]; FRS; [ 1 ]; Hughes Medal; Nobel Prize in Physics; Royal Medal; Lomonosov Gold Medal
1951,Fizika,John Cockcroft,https://en.wikipedia.org/wiki/John_Cockcroft,1897-05-27,UKGBI,FRS; Hughes Medal; Medal of Freedom; Knight Bachelor; Nobel Prize in Physics; Legion of Honour (Knight; 1952); Legion of Honour; Order of the Bath (Knight Commander; 1953); Order of the Bath; Royal Medal; Military Order of Christ (Commander; 1955); Military Order of Christ; IET Faraday Medal; Order of Merit; Civil Order of Alfonso X; the Wise (Grand Cross; 1958); the Wise; Wilhelm Exner Medal; Atoms for Peace Award
1951,Fizika,Ernest Walton,https://en.wikipedia.org/wiki/Ernest_Walton,1903-10-06,UKGBI,MRIA; Hughes Medal; Nobel Prize in Physics
1952,Fizika,Felix Bloch,https://en.wikipedia.org/wiki/Felix_Bloch,1905-10-23,Switzerland,Membership of NAS; Nobel Prize in Physics
1952,Fizika,Edward Mills Purcell,https://en.wikipedia.org/wiki/Edward_Mills_Purcell,1912-08-30,U.S.,Nobel Prize for Physics; Oersted Medal; National Medal of Science; Max Delbruck Prize; Beatrice M. Tinsley Prize
1953,Fizika,Frits Zernike,https://en.wikipedia.org/wiki/Frits_Zernike,1888-07-16,Netherlands,Rumford Medal; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]
1954,Fizika,Max Born,https://en.wikipedia.org/wiki/Max_Born,1882-12-11,German Empire,FRS; Max Planck Medal; Hughes Medal; Nobel Prize in Physics
1954,Fizika,Walther Bothe,https://en.wikipedia.org/wiki/Walther_Bothe,1891-01-08,German Empire,Max Planck Medal; Nobel Prize in Physics
1955,Fizika,Willis Lamb,https://en.wikipedia.org/wiki/Willis_Lamb,1913-07-12,U.S.,Rumford Prize; Nobel Prize in Physics; Einstein Prize for Laser Science; National Medal of Science
1955,Fizika,Polykarp Kusch,https://en.wikipedia.org/wiki/Polykarp_Kusch,1911-01-26,German Empire,Nobel Prize in Physics
1956,Fizika,John Bardeen,https://en.wikipedia.org/wiki/John_Bardeen,1908-05-23,U.S.,Stuart Ballantine Medal; Oliver E. Buckley Prize; Nobel Prize in Physics (1956; 1972); Nobel Prize in Physics; Fritz London Memorial Prize; National Medal of Science; IEEE Medal of Honor; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Franklin Medal; Presidential Medal of Freedom; Lomonosov Gold Medal; Harold Pender Award
1956,Fizika,Walter Houser Brattain,https://en.wikipedia.org/wiki/Walter_Houser_Brattain,1902-02-10,Qing China,Stuart Ballantine Medal; Nobel Prize in Physics
1956,Fizika,William Shockley,https://en.wikipedia.org/wiki/William_Shockley,1910-02-13,UKGBI,IRE Morris Liebmann Memorial Prize; Holley Medal; IEEE Medal of Honor
1957,Fizika,Yang Chen-Ning,https://en.wikipedia.org/wiki/Yang_Chen-Ning,1922-10-01,Republic of China,Nobel Prize in Physics; Guggenheim Fellowship; Fritz London Memorial Lecture; Rumford Prize; National Medal of Science; Oskar Klein Memorial Lecture; ForMemRS; Benjamin Franklin Medal; Bower Award; Albert Einstein Medal; Bogolyubov Prize; Lars Onsager Prize; King Faisal Prize
1957,Fizika,Tsung-Dao Lee,https://en.wikipedia.org/wiki/Tsung-Dao_Lee,1926-11-24,Republic of China,Nobel Prize in Physics; Albert Einstein Award; Guggenheim Fellowship; Oskar Klein Memorial Lecture; Matteucci Medal
1958,Fizika,Pavel Cherenkov,https://en.wikipedia.org/wiki/Pavel_Cherenkov,1904-07-28,Russian Empire,Nobel Prize in Physics
1958,Fizika,Ilya Frank,https://en.wikipedia.org/wiki/Ilya_Frank,1908-10-23,Russian Empire,Stalin Prize; Nobel Prize in Physics
1958,Fizika,Igor Tamm,https://en.wikipedia.org/wiki/Igor_Tamm,1895-07-08,Russian Empire,Lomonosov Gold Medal; Nobel Prize in Physics; Hero of Socialist Labour; Stalin Prize
1959,Fizika,Emilio Segrè,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8,1905-02-01,Kingdom of Italy,Richtmyer Memorial Award; Nobel Prize in Physics
1959,Fizika,Owen Chamberlain,https://en.wikipedia.org/wiki/Owen_Chamberlain,1920-07-10,U.S.,Nobel Prize in Physics
1960,Fizika,Donald A. Glaser,https://en.wikipedia.org/wiki/Donald_A._Glaser,1926-09-21,U.S.,Nobel Prize in Physics; Elliott Cresson Medal
1961,Fizika,Robert Hofstadter,https://en.wikipedia.org/wiki/Robert_Hofstadter,1915-02-05,U.S.,Nobel Prize in Physics; National Medal of Science; Dirac Medal (UNSW)
1961,Fizika,Rudolf Mössbauer,https://en.wikipedia.org/wiki/Rudolf_M%C3%B6ssbauer,1929-01-31,Weimar Republic,Elliott Cresson Medal; Nobel Prize in Physics; Guthrie Medal and Prize; Lomonosov Gold Medal; Albert Einstein Medal
1962,Fizika,Lev Landau,https://en.wikipedia.org/wiki/Lev_Landau,1908-01-22,Russian Empire,Stalin Prize; Max Planck Medal; Fritz London Memorial Prize; Nobel Prize in Physics
1963,Fizika,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner,1902-11-17,Austria-Hungary,Medal for Merit; Franklin Medal; Enrico Fermi Award; Atoms for Peace Award; Max Planck Medal; Nobel Prize in Physics; National Medal of Science; Albert Einstein Award; Wigner Medal
1963,Fizika,Maria Goeppert Mayer,https://en.wikipedia.org/wiki/Maria_Goeppert_Mayer,1906-06-28,German Empire,Nobel Prize in Physics
1963,Fizika,J. Hans D. Jensen,https://en.wikipedia.org/wiki/J._Hans_D._Jensen,1907-06-25,German Empire,Nobel Prize in Physics
1964,Fizika,Charles H. Townes,https://en.wikipedia.org/wiki/Charles_H._Townes,1915-07-28,U.S.,Comstock Prize in Physics; John J. Carty Award for the Advancement of Science; Stuart Ballantine Medal; Young Medal and Prize; Nobel Prize in Physics; IEEE Medal of Honor; Wilhelm Exner Medal  [ 1 ]; Wilhelm Exner Medal; [ 1 ]; ForMemRS  [ 2 ]; ForMemRS; [ 2 ]; Earle K. Plyler Prize for Molecular Spectroscopy; Lomonosov Gold Medal; Templeton Prize; Vannevar Bush Award; SPIE Gold Medal; Golden Goose Award
1964,Fizika,Nikolay Basov,https://en.wikipedia.org/wiki/Nikolay_Basov,1922-12-14,Russian SFSR [ 1 ],Nobel Prize in Physics; Kalinga Prize; Lomonosov Gold Medal; Edward Teller Award
1964,Fizika,Alexander Prokhorov,https://en.wikipedia.org/wiki/Alexander_Prokhorov,1916-07-11,Australia,Nobel Prize in Physics; Lomonosov Gold Medal
1965,Fizika,Shin'ichirō Tomonaga,https://en.wikipedia.org/wiki/Shin%27ichir%C5%8D_Tomonaga,1906-03-31,Japan,Asahi Prize; Lomonosov Gold Medal; Nobel Prize in Physics
1965,Fizika,Julian Schwinger,https://en.wikipedia.org/wiki/Julian_Schwinger,1918-02-12,U.S.,Albert Einstein Award; National Medal of Science; Nobel Prize in Physics
1965,Fizika,Richard Feynman,https://en.wikipedia.org/wiki/Richard_Feynman,1918-05-11,U.S.,Albert Einstein Award; E. O. Lawrence Award; Nobel Prize in Physics; Foreign Member of the Royal Society; Oersted Medal; National Medal of Science
1966,Fizika,Alfred Kastler,https://en.wikipedia.org/wiki/Alfred_Kastler,1902-05-03,German Empire,Holweck Prize; CNRS Gold medal; Nobel Prize in Physics
1967,Fizika,Hans Bethe,https://en.wikipedia.org/wiki/Hans_Bethe,1906-07-02,German Empire,Henry Draper Medal; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Franklin Medal; Eddington Medal; Enrico Fermi Award; Rumford Prize; Nobel Prize in Physics; National Medal of Science; Lomonosov Gold Medal; Oersted Medal; Bruce Medal; Benjamin Franklin Medal
1968,Fizika,Luis Walter Alvarez,https://en.wikipedia.org/wiki/Luis_Walter_Alvarez,1911-06-13,U.S.,Collier Trophy; Medal for Merit; John Scott Medal; Albert Einstein Award; National Medal of Science; Pioneer Award; Michelson–Morley Award; Nobel Prize in Physics; Enrico Fermi Award
1969,Fizika,Murray Gell-Mann,https://en.wikipedia.org/wiki/Murray_Gell-Mann,1929-09-15,U.S.,Dannie Heineman Prize for Mathematical Physics; E. O. Lawrence Award; John J. Carty Award; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]
1970,Fizika,Hannes Alfvén,https://en.wikipedia.org/wiki/Hannes_Alfv%C3%A9n,1908-05-30,Sweden,Björkénska priset; Nobel Prize in Physics; Lomonosov Gold Medal; Dirac Medal (UNSW); ForMemRS; William Bowie Medal
1970,Fizika,Louis Néel,https://en.wikipedia.org/wiki/Louis_N%C3%A9el,1904-11-22,France,Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Legion of Honour  [ 2 ]; Legion of Honour; [ 2 ]; CNRS Gold Medal; Three Physicists Prize; Holweck Prize; Prix Félix-Robin
1971,Fizika,Dennis Gabor,https://en.wikipedia.org/wiki/Dennis_Gabor,1900-06-05,Austria-Hungary,FRS  [ 1 ]; FRS; [ 1 ]; Young Medal and Prize; Rumford Medal; IEEE Medal of Honor; Nobel Prize in Physics
1972,Fizika,John Bardeen,https://en.wikipedia.org/wiki/John_Bardeen,1908-05-23,U.S.,Stuart Ballantine Medal; Oliver E. Buckley Prize; Nobel Prize in Physics (1956; 1972); Nobel Prize in Physics; Fritz London Memorial Prize; National Medal of Science; IEEE Medal of Honor; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Franklin Medal; Presidential Medal of Freedom; Lomonosov Gold Medal; Harold Pender Award
1972,Fizika,Leon Cooper,https://en.wikipedia.org/wiki/Leon_Cooper,1930-02-28,U.S.,John Jay Award; Nobel Prize in Physics; Comstock Prize in Physics
1972,Fizika,John Robert Schrieffer,https://en.wikipedia.org/wiki/John_Robert_Schrieffer,1931-05-31,U.S.,Oliver E. Buckley Condensed Matter Prize; Comstock Prize in Physics; Nobel Prize in Physics; Fritz London Memorial Prize; National Medal of Science
1973,Fizika,Leo Esaki,https://en.wikipedia.org/wiki/Leo_Esaki,1925-03-12,Empire of Japan,Asahi Prize; Nishina Memorial Prize; IRE Morris Liebmann Memorial Prize; Stuart Ballantine Medal; Japan Academy Prize; Nobel Prize in Physics; Order of Culture; International Prize for New Materials; Harold Pender Award; IEEE Medal of Honor; Order of the Rising Sun (Grand Cordon; 1998); Order of the Rising Sun; Japan Prize  [ 1 ]; Japan Prize; [ 1 ]
1973,Fizika,Ivar Giaever,https://en.wikipedia.org/wiki/Ivar_Giaever,1929-04-05,Norway,Oliver E. Buckley Prize; Nobel Prize in Physics
1973,Fizika,Brian Josephson,https://en.wikipedia.org/wiki/Brian_Josephson,1940-01-04,UK,FRS; Fritz London Memorial Prize; Elliott Cresson Medal; Hughes Medal; Guthrie Medal; Nobel Prize in Physics; Fernand Holweck Medal and Prize; IET Faraday Medal
1974,Fizika,Martin Ryle,https://en.wikipedia.org/wiki/Martin_Ryle,1918-09-27,England,Hughes Medal; RAS Gold Medal; Henry Draper Medal; Knight Bachelor; Faraday Medal; Royal Medal; Bruce Medal; Nobel Prize in Physics
1974,Fizika,Antony Hewish,https://en.wikipedia.org/wiki/Antony_Hewish,1924-05-11,England,Hughes Medal; Nobel Prize for Physics; Eddington Medal
1975,Fizika,Aage Bohr,https://en.wikipedia.org/wiki/Aage_Bohr,1922-06-19,Denmark,Dannie Heineman Prize for Mathematical Physics; Atoms for Peace Award; H. C. Ørsted Medal; Foreign Associate of the National Academy of Sciences; Rutherford Medal and Prize; John Price Wetherill Medal; Nobel Prize in Physics
1975,Fizika,Ben Roy Mottelson,https://en.wikipedia.org/wiki/Ben_Roy_Mottelson,1926-07-09,U.S.,Atoms for Peace Award; John Price Wetherill Medal; Nobel Prize in Physics; Marian Smoluchowski Medal
1975,Fizika,James Rainwater,https://en.wikipedia.org/wiki/James_Rainwater,1917-12-09,U.S.,Ernest Orlando Lawrence Award; Nobel Prize in Physics
1976,Fizika,Burton Richter,https://en.wikipedia.org/wiki/Burton_Richter,1931-03-22,U.S.,E. O. Lawrence Award; Nobel Prize in Physics; Enrico Fermi Award; National Medal of Science
1976,Fizika,Samuel C. C. Ting,https://en.wikipedia.org/wiki/Samuel_C._C._Ting,1936-01-27,U.S.,Ernest Orlando Lawrence Award; Nobel Prize for Physics; Eringen Medal; Brescia; NASA Public Service Medal
1977,Fizika,Philip W. Anderson,https://en.wikipedia.org/wiki/Philip_W._Anderson,1923-12-13,U.S.,Oliver E. Buckley Condensed Matter Prize; Nobel Prize in Physics; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; National Medal of Science; Nihon Ki-in lifetime achievement award  [ 2 ]; Nihon Ki-in; [ 2 ]
1977,Fizika,Nevill Francis Mott,https://en.wikipedia.org/wiki/Nevill_Francis_Mott,1905-09-30,England,FRS; Hughes Medal; Royal Medal; Copley Medal; A. A. Griffith Medal and Prize; Faraday Medal; Nobel Prize in Physics
1977,Fizika,John Hasbrouck Van Vleck,https://en.wikipedia.org/wiki/John_Hasbrouck_Van_Vleck,1899-03-13,U.S.,Irving Langmuir Award; National Medal of Science; ForMemRS  [ 1 ]; ForMemRS; [ 1 ]; Elliott Cresson Medal; Lorentz Medal; Nobel Prize in Physics
1978,Fizika,Pyotr Kapitsa,https://en.wikipedia.org/wiki/Pyotr_Kapitsa,1894-07-09,Russian Empire,FRS  [ 1 ]; FRS; [ 1 ]; Faraday Medal; Franklin Medal; Lomonosov Gold Medal; Cothenius Medal; Rutherford Medal and Prize; Nobel Prize in Physics
