leto,podrocje,ime,URL,datum rojstva,drzava rojstva,nagrade
1995,Psihologija ali medicina,Christiane Nüsslein-Volhard,https://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard,1942-10-20,Germany,Nobel Prize in Physiology or Medicine; Sir Hans Krebs Medal; Mendel Medal; Louis-Jeantet Prize for Medicine  [ 1 ]; Louis-Jeantet Prize for Medicine; [ 1 ]; Albert Lasker Award for Basic Medical Research; Gottfried Wilhelm Leibniz Prize; Rosenstiel Award
1995,Psihologija ali medicina,Eric F. Wieschaus,https://en.wikipedia.org/wiki/Eric_F._Wieschaus,1947-06-08,U.S.,Genetics Society of America Medal; Nobel Prize in Physiology or Medicine
1996,Psihologija ali medicina,Peter C. Doherty,https://en.wikipedia.org/wiki/Peter_C._Doherty,1940-10-15,Australia,Paul Ehrlich and Ludwig Darmstaedter Prize; Nobel Prize in Physiology or Medicine; Australian of the Year; Leeuwenhoek Lecture; [ 1 ]
1996,Psihologija ali medicina,Rolf M. Zinkernagel,https://en.wikipedia.org/wiki/Rolf_M._Zinkernagel,1944-01-06,Switzerland,Ernst Jung Prize; Paul Ehrlich and Ludwig Darmstaedter Prize; Mack-Forster Prize; Gairdner Foundation International Award; Louis-Jeantet Prize for Medicine  [ 1 ]; Louis-Jeantet Prize for Medicine; [ 1 ]; Christoforo Colombo Award; Albert Lasker Medical Research Award; Nobel Prize in Physiology or Medicine; AC; FAA [ when? ]; FAA; when?
1997,Psihologija ali medicina,Stanley B. Prusiner,https://en.wikipedia.org/wiki/Stanley_B._Prusiner,1942-05-28,U.S.,Potamkin Prize; Metlife Foundation Award for Medical Research in Alzheimer's Disease  [ 1 ]; Metlife Foundation Award for Medical Research in Alzheimer's Disease; [ 1 ]; Dickson Prize; Richard Lounsbery Award; Lasker Award; Keio Medical Science Prize; Wolf Prize in Medicine; Nobel Prize in Physiology or Medicine; ForMemRS  [ 2 ]; ForMemRS; [ 2 ]; Sir Hans Krebs Medal
1998,Psihologija ali medicina,Robert F. Furchgott,https://en.wikipedia.org/wiki/Robert_F._Furchgott,1916-06-04,U.S.,Nobel Prize in Physiology or Medicine
1998,Psihologija ali medicina,Louis Ignarro,https://en.wikipedia.org/wiki/Louis_Ignarro,1941-05-31,U.S.,Nobel Prize in Physiology or Medicine
1998,Psihologija ali medicina,Ferid Murad,https://en.wikipedia.org/wiki/Ferid_Murad,1936-09-14,U.S.,Nobel Prize in Physiology or Medicine; Albert Lasker Award for Basic Medical Research
1999,Psihologija ali medicina,Günter Blobel,https://en.wikipedia.org/wiki/G%C3%BCnter_Blobel,1936-05-21,Germany (now Niegosławice,NAS Award in Molecular Biology; Canada Gairdner International Award; Otto Warburg Medal; Richard Lounsbery Award; E.B. Wilson Medal; Keith R. Porter Lecture; Louisa Gross Horwitz Prize; Max Delbrück Medal; Albert Lasker Award for Basic Medical Research; Ciba-Drew Award; King Faisal Prize; Mayor's Award; Nobel Prize in Physiology or Medicine; Massry Prize; Mendel Lecture
2000,Psihologija ali medicina,Arvid Carlsson,https://en.wikipedia.org/wiki/Arvid_Carlsson,1923-01-25,Sweden,Wolf Prize in Medicine; Japan Prize; [ 1 ]; Feltrinelli International Award; Nobel Prize in Physiology or Medicine
2000,Psihologija ali medicina,Paul Greengard,https://en.wikipedia.org/wiki/Paul_Greengard,1925-12-11,U.S.,Nobel Prize for Physiology or Medicine; NAS Award in the Neurosciences; Dickson Prize; Metlife Foundation Award for Medical Research in Alzheimer's Disease; [ 1 ]
2000,Psihologija ali medicina,Eric Kandel,https://en.wikipedia.org/wiki/Eric_Kandel,1929-11-07,Austria,Karl Spencer Lashley Award; Dickson Prize; Lasker Award; National Medal of GSS; [ 1 ]; Harvey Prize; Wolf Prize in Medicine; Nobel Prize in Physiology or Medicine
2001,Psihologija ali medicina,Leland H. Hartwell,https://en.wikipedia.org/wiki/Leland_H._Hartwell,1939-10-30,U.S.,Rosenstiel Award; Genetics Society of America Medal; Komen Brinker Award; [ 1 ]; Albert Lasker Award; Massry Prize; Nobel Prize in Physiology or Medicine; Mendel Medal; Medal of Merit
2001,Psihologija ali medicina,Tim Hunt,https://en.wikipedia.org/wiki/Tim_Hunt,1943-02-19,England,Nobel Prize in Physiology or Medicine; Royal Medal; Knight Bachelor
2001,Psihologija ali medicina,Paul Nurse,https://en.wikipedia.org/wiki/Paul_Nurse,1949-01-25,England,Rosenstiel Award; Louis-Jeantet Prize for Medicine  [ 2 ]; Louis-Jeantet Prize for Medicine; [ 2 ]; Royal Medal; Lasker Award; Nobel Prize in Physiology or Medicine; Copley Medal; Albert Einstein World Award of Science
2002,Psihologija ali medicina,Sydney Brenner,https://en.wikipedia.org/wiki/Sydney_Brenner,1927-01-13,South Africa,William Bate Hardy Prize; Mendel Medal; Albert Lasker Medical Research Award; Royal Medal; Gairdner Foundation International Award; Krebs Medal; Rosenstiel Award; Louis-Jeantet Prize for Medicine  [ 1 ]; Louis-Jeantet Prize for Medicine; [ 1 ]; Harvey Prize; Genetics Society of America Medal; Kyoto Prize; Copley Medal; King Faisal International Prize in Medicine; Max Delbrück Medal; Novartis-Drew Award; Nobel Prize in Physiology or Medicine; Dan David Prize
2002,Psihologija ali medicina,H. Robert Horvitz,https://en.wikipedia.org/wiki/H._Robert_Horvitz,1947-05-08,U.S.,NAS Award in Molecular Biology; Nobel Prize in Physiology or Medicine  [ 1 ]; Nobel Prize in Physiology or Medicine; [ 1 ]; Gruber Prize in Genetics; Wiley Prize
2002,Psihologija ali medicina,John Sulston,https://en.wikipedia.org/wiki/John_Sulston,1942-03-27,England,W. Alden Spencer Award; Darwin Medal  [ 1 ]; Darwin Medal; [ 1 ]; Beadle Award  [ 2 ]; Beadle Award; [ 2 ]; Knight Bachelor; Edinburgh Medal; Physiological Society Annual Review Prize Lecture; Nobel prize; Gairdner Award
2003,Psihologija ali medicina,Paul Lauterbur,https://en.wikipedia.org/wiki/Paul_Lauterbur,1929-05-06,U.S.,Nobel Prize in Physiology or Medicine; Kyoto Prize; Bower Award; IEEE Medal of Honor; National Medal of Science; Harvey Prize; Potts Medal
2003,Psihologija ali medicina,Peter Mansfield,https://en.wikipedia.org/wiki/Peter_Mansfield,1933-10-09,England,FRS  [ 1 ]; FRS; [ 1 ]; Knight Bachelor; Nobel Prize in Physiology or Medicine
2004,Psihologija ali medicina,Richard Axel,https://en.wikipedia.org/wiki/Richard_Axel,1946-07-02,U.S.,Richard Lounsbery Award; Perl-UNC Prize; Gairdner Foundation International Award; Nobel Prize in Physiology or Medicine
